id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
246;Samsung Galaxy Tab S5e 10.5 WiFi Silver;8590;7099;4.7;11.0;Slightly used;10.5;2560 × 1600 px;['AMOLED'];;4.0;64.0;['Micro SD'];512.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];;13.0;8.0;;;;;;8.0;2.0;Qualcomm Snapdragon 670;;['Google Android'];Android 9.0 Pie;244.9;160.0;5.5;0.399;['Silver'];;;;;;;;;;;;;;;;;;;;
247;Samsung Galaxy Tab S7+ WiFi Black;18217;15055;5.0;8.0;Slightly used;12.4;2800 × 1752 px;['AMOLED'];;6.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope'];13.0;8.0;;;;;;8.0;3.09;Qualcomm Snapdragon 865+;;['Google Android'];Android 10;5.7;285.0;185.0;0.58;['Black'];;Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Exynos;;;;;;;;;;;;
248;Samsung Galaxy Tab A7 10.4 WiFi 32GB Grey;4594;3797;4.7;40.0;Slightly used;10.4;2000 × 1200 px;['TFT'];;3.0;32.0;['Micro SD'];976.56;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope'];8.0;5.0;;;;;;8.0;2.0;Qualcomm Snapdragon 662;;['Google Android'];Android 10;157.4;246.7;7.0;0.472;['Grey'];;;;;;;;Adreno 610;;;;;;;;;;;;
249;Samsung Galaxy Tab S6 Lite LTE Grey;8564;7078;4.8;10.0;Slightly used;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Exynos 9611;;['Google Android'];Android 10;244.5;154.3;7.0;0.467;['Grey'];;Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mali-G72 MP3;['4G/LTE', '3G'];Nano SIM;;;;;;;;;;
250;Samsung Galaxy Tab S4 10.5 LTE Grey;11534;9532;4.5;2.0;Slightly used;10.5;2560 × 1600 px;['AMOLED'];;4.0;64.0;['Micro SD'];400.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor'];13.0;8.0;;;;;;8.0;;Qualcomm Snapdragon 835;;['Google Android'];Android 9.0 Pie;249.3;164.3;7.1;0.483;['Grey'];;Samsung Galaxy Tab;;;;;;;['4G/LTE', '3G'];;;;;;;;;;;
251;Samsung Galaxy Tab S7+ 5G Blue;22990;19000;;;Unsealed;12.4;2800 × 1752 px;['AMOLED'];266.0;6.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];13.0;8.0;3840 × 2160 px;['2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Flash function'];10.09;45.0;8.0;3.09;Qualcomm Snapdragon 865+;;['Google Android'];Android 10;5.7;285.0;185.0;0.58;['Blue'];;Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;2.0;;Exynos;['5G', '4G/LTE', '3G'];;;;;;;;;;;
252;Samsung Galaxy Tab A7 10.4 LTE Grey;6141;5075;3.8;4.0;Unsealed;10.4;2000 × 1200 px;['TFT'];;3.0;32.0;['Micro SD'];976.56;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope'];8.0;5.0;;;;;;8.0;2.0;Qualcomm Snapdragon 662;;['Google Android'];Android 10;;;;0.472;['Grey'];;;;;;;;Adreno 610;['4G/LTE', '3G'];;;;;;;;;;;
253;Samsung Galaxy Tab S7+ WiFi Black;22490;18587;5.0;8.0;Unsealed;12.4;2800 × 1752 px;['AMOLED'];;6.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope'];13.0;8.0;;;;;;8.0;3.09;Qualcomm Snapdragon 865+;;['Google Android'];Android 10;5.7;285.0;185.0;0.58;['Black'];;Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Exynos;;;;;;;;;;;;
254;Samsung Galaxy Tab Active Pro 10.1 LTE, Black;14014;11582;;;Unsealed;10.1;1920 × 1200 px;['TFT'];;4.0;64.0;['Micro SD'];512.0;['NFC', 'WiFi', 'Bluetooth'];['Headphone output (3.5mm jack)'];['Motion sensor'];13.0;;3840 × 2160 px;['2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Flash function'];7.6;15.0;8.0;2.0;Qualcomm Snapdragon 670;;['Google Android'];Android 9.0 Pie;;;;0.653;['Black'];['Charger (adapter with cable)', 'Case'];;;;;;['IP68'];Adreno 615;['4G/LTE', '3G'];Nano SIM;;;;;;;;;;
255;Samsung Galaxy Tab S5e 10.5 WiFi Silver;10890;9000;4.7;11.0;Unsealed;10.5;2560 × 1600 px;['AMOLED'];;4.0;64.0;['Micro SD'];512.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];;13.0;8.0;;;;;;8.0;2.0;Qualcomm Snapdragon 670;;['Google Android'];Android 9.0 Pie;244.9;160.0;5.5;0.399;['Silver'];;;;;;;;;;;;;;;;;;;;
256;Teclast P25T Grey;3052;2522;3.0;2.0;Unsealed;10.1;1280 × 800 px;['IPS'];149.0;3.0;64.0;['Micro SD', 'Micro SDXC', 'Micro SDHC'];128.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];;5.0;2.0;;;['Flash function'];5.0;;4.0;1.8;Allwinner A133;;['Google Android'];Android 12;244.0;169.0;9.3;0.543;['Grey'];;;;;;;;IMG GE8300;;;;;;;;;;;;
257;Doogee T10 8GB/128GB Grey;4289;3545;4.6;15.0;In stock 1 pcs;10.1;1920 × 1200 px;['IPS'];225.0;8.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS', 'Infraport'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'Proximity sensor', 'G-sensor'];13.0;8.0;2048 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];8.3;10.0;8.0;1.6;Unisoc T606;['VoLTE/GSM', 'OTG', 'Quick charging'];['Google Android'];Android 12;161.0;242.0;7.0;0.5660000000000001;['Grey'];['Charger (adapter with cable)', 'Case'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
258;iPad 10.2 64GB WiFi Cellular Space Grey 2021;12990;10736;4.6;15.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;3.0;64.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];8686.327077747988;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Grey'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;['4G/LTE', '3G'];;eSIM;Digital student SK;;;;;;;;
259;Blackview TAB LTE G15 Pro 8GB/256GB modrý;5499;4545;5.0;1.0;Last piece in stock;10.51;1920 × 1200 px;['IPS'];215.0;8.0;;['SDXC'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];13.0;8.0;1920 × 1080 px;['720p (HD) 30fps'];['Flash function'];8280.0;18.0;8.0;1.6;Unisoc T606;['VoLTE/GSM', 'OTG', 'Image transmission to TV', 'Quick charge'];['Google Android'];Android 12;157.0;246.0;7.3;0.52;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Case', 'Screen Protector'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;2.2;2.0;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
260;TCL TAB 10 WIFI 4GB/128GB Ultra Gray;3890;3215;5.0;1.0;Last 2 pieces in stock;10.1;1920 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;5.0;;['1080p (Full HD) 30fps'];;5.5;;8.0;2.0;;;['Google Android'];Android 11;158.18;243.18;9.2;0.448;['Grey'];['Charger (adapter with cable)'];;;;;;;IMG GE8320;;;;;;;;;;;;
261;Lenovo Tab Extreme 12GB/256GB šedý + Percision Pen 3 + Folio Case;28990;23959;;;In stock 3 pcs;14.5;3000x1876 px;['OLED'];244.0;12.0;256.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C', 'Docking connector', 'USB-C 3.2'];['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'TOF senzor'];13.0;13.0;3840 × 2160 px;['2160p (4K) 30fps'];['Flash function', 'Face Unlock'];12.3;68.0;8.0;3.05;MediaTek Dimensity 9000;['OTG', 'Image transmission to TV', 'Quick charging', 'Gorilla Glass', 'Fingerprint reader'];['Google Android'];Android 13;7.15;327.8;210.8;0.74;['Grey'];['Charger (adapter with cable)', 'Case', 'Stylus'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;;ARM G710 MC10;;;;;;;;;;;;
262;Samsung Galaxy Tab S6 Lite WiFi Blue 2022;8192;6770;4.4;13.0;Unsealed;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Snapdragon 720G;['Quick charging'];['Google Android'];Android 10;244.5;154.3;7.0;0.465;['Blue'];['Charger (adapter with cable)', 'Stylus'];Samsung Galaxy Tab S;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;;;;;
263;Samsung Galaxy Tab S6 Lite LTE gray 2022;8192;6770;4.8;11.0;Unsealed;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Snapdragon 720G;['Quick charging'];['Google Android'];Android 10;244.5;154.3;7.0;0.467;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab S;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
264;Cubot Tab 30 LTE 4GB/128 Grey;3133;2589;4.2;5.0;As good as new;10.1;1920 × 1200 px;['IPS'];;4.0;128.0;['TF Card'];;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor'];13.0;;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];6.58;;8.0;2.0;Unisoc Tiger T618;['Gorilla Glass'];['Google Android'];Android 11;157.5;237.54;8.0;0.421;['Grey'];['Charger (adapter with cable)'];;;;;;;ARM Mali-G52;;Nano SIM;Nano SIM;Digital student SK;;;;;;;;
265;iGET SMART L11 LTE 6GB/128GB stříbrný + iPEN 2;4499;3718;;;Expected November 30, 2023;11.0;2000 × 1200 px;['IPS'];;6.0;128.0;['SDHC'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['G-sensor'];5.0;2.0;1080 × 540 px;;;7.0;10.0;8.0;1.6;Unisoc T606;['VoLTE/GSM', 'OTG', 'Quick charging'];['Google Android'];Android 13;164.7;260.11;7.3;0.562;['Silver'];['Charger (adapter with cable)', 'Charging cable', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali G57 M1;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
266;Lenovo Tab P11 (2nd Gen) 6GB + 128GB Storm Grey;5990;4950;4.6;17.0;Ordered on request 5 pcsExpected 08/12/2023;11.5;2000 × 1200 px;['IPS'];;6.0;128.0;['Micro SD', 'Micro SDXC', 'Micro SDHC'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];13.0;8.0;;;;7.7;;8.0;2.2;MediaTek Helio G99;['OTG', 'Gorilla Glass'];['Google Android'];Android 12;269.1;169.4;7.4;0.52;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP52', 'IP53'];ARM Mali-G57;;;;;;;;;;;;
267;Lenovo Tab M10 Plus (3rd Gen) 2023 4GB + 128GB Storm Grey;4490;3711;4.5;21.0;Ordered on request 5 pcsExpected 28/11/2023;10.61;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];8.0;8.0;;;;7.7;;8.0;2.4;Qualcomm Snapdragon SDM680;;['Google Android'];Android 13;7.45;251.2;158.8;0.465;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Qualcomm Adreno 610;;;;;;;;;;;;
268;Samsung Galaxy Tab S9 FE 5G 6GB/128GB šedá;15490;12802;5.0;4.0;Ordered on request > 5 pcsExpected 28/11/2023;10.9;2304 × 1440 px;['TFT'];249.0;6.0;128.0;['Micro SD'];1.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;8.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charging', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;165.8;254.3;6.5;0.523;['Grey'];;Samsung Galaxy Tab;;;1.9;2.4;['IP68'];ARM Mali G68 MP5;['5G', '4G/LTE', '3G'];Nano SIM;eSIM;Digital student SK;;;;;;;;
269;Lenovo Yoga Tab 11 8GB + 256GB Storm Grey LTE;10990;9083;4.7;17.0;Ordered on request > 5 pcsExpected 08/12/2023;11.0;2000 × 1200 px;['IPS'];212.0;8.0;256.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.7;20.0;8.0;2.05;MediaTek Helio G90T;['Quick charging'];['Google Android'];Android 12;256.8;169.0;8.3;0.65;['Grey'];['Charger (adapter with cable)'];Lenovo Yoga Tablet;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP52'];Mali-G76;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
270;Alcatel 1T 7 2021 WiFi 1/16 Prime Black (9309X);1599;1321;4.1;7.0;Ordered on request > 5 pcsExpected 01/12/2023;7.0;1024 × 600 px;['TFT'];;1.0;16.0;['Micro SD'];128.0;['WiFi', 'Bluetooth'];['micro USB 2.0', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope', 'Light sensor'];2.0;2.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];;2.58;;4.0;1.3;MediaTek MT8167;;['Google Android'];Android 10 (Go Edition);111.0;189.5;9.15;0.245;['Black'];['Charger (adapter with cable)'];Alcatel 1T;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['IP54'];;;;;;;;;;;;;
271;Lenovo Tab M10 Plus (3rd Gen) 2023 4GB/128GB šedý + Folio Case + aktivní stylus Lenovo;6299;5206;4.0;7.0;Ordered on request 5 pcsExpected 08/12/2023;10.61;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor'];8.0;8.0;;;;7.7;;8.0;2.4;Qualcomm Snapdragon SDM680;['OTG', 'Quick charging'];['Google Android'];Android 12;7.45;251.2;158.8;0.465;['Grey'];['Charger (adapter with cable)', 'Case', 'Stylus'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Qualcomm Adreno 610;;;;;;;;;;;;
272;Lenovo Tab P12 Pro 8GB + 256GB Storm Grey + Lenovo Active Stylus;19999;16528;4.5;2.0;Ordered on request > 5 pcsExpected 28/11/2023;12.6;2560 × 1600 px;['AMOLED'];240.0;8.0;256.0;['Micro SD'];1.024;['WiFi', 'Bluetooth'];['USB-C', 'Docking connector'];['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'Fingerprint reader'];13.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];;10.2;45.0;8.0;3.2;Qualcomm Snapdragon 870;['Quick charging', 'Gorilla Glass'];['Google Android'];Android 12;184.53;285.61;5.63;0.5650000000000001;['Carbon'];['Charger (adapter with cable)', '3.5mm jack adapter'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Adreno 650;;;;;;;;;;;;
273;Doogee T30 PRO LTE 8GB/256GB šedý;7989;6602;5.0;8.0;Ordered on request > 5 pcsExpected 06/12/2023;11.0;2560 × 1600 px;['IPS'];374.0;8.0;256.0;['Micro SD', 'Micro SDXC'];2.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'Proximity sensor', 'G-sensor'];20.0;8.0;2048 × 1080 px;['2160p (4K) 30fps'];;8.58;27.0;8.0;2.2;MediaTek Helio G99;['Quick charging'];['Google Android'];Android 13;168.7;257.0;7.6;0.539;['Grey'];['Charger (adapter with cable)', 'Case'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G57;['4G/LTE'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
274;Cubot Tab King Kong 16GB/256GB černý;4999;4131;5.0;1.0;Ordered on request > 5 pcsExpected 30/11/2023;10.1;;['IPS'];224.0;16.0;256.0;['Micro SD', 'TF Card'];1.024;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C'];['Motion sensor', 'Gyroscope'];16.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];10.6;;8.0;2.0;MT8788A;['OTG', 'Water-resistant'];['Google Android'];Android 13;251.2;170.2;15.6;0.8200000000000001;['Black'];['Charger (adapter with cable)'];;;;;;['IP68', 'IP69K'];Mali-G72 MP3;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
275;Doogee U10 KID Wi-Fi 4GB/128GB modrý;2789;2305;;;Ordered on request > 5 pcsExpected 01/12/2023;10.1;1280 × 800 px;['IPS'];149.0;4.0;128.0;['Micro SDXC'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor'];8.0;5.0;1280 × 720 px;['720p (HD) 30fps'];['Flash function'];5.06;10.0;4.0;2.0;Rockchip RK3562;['OTG', 'Quick charging'];['Google Android'];Android 13;245.3;163.0;9.9;0.514;['Blue'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Arm Cortex A53;;;;;;;;;;;;
276;UleFone Armor Pad 2 8GB/256GB černý;7999;6611;;;Expected December 15, 2023;11.0;2000 × 1200 px;['IPS'];213.0;8.0;;['Micro SD', 'TF Card'];2000.0;['WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'Barometer', 'G-sensor'];48.0;16.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];18600.0;33.0;8.0;2.2;MediaTek Helio G99;['VoLTE/GSM', 'Quick charge', 'Water-resistant', 'Fingerprint reader'];['Google Android'];Android 13;178.0;277.8;14.0;1.018;['Black'];['Charger (adapter with cable)'];;;256.0;1.8;2.2;['IP68', 'IP69K'];ARM Mali G57 MC2;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
277;UleFone Armor Pad 2 8GB/256GB žlutý;7999;6611;;;Expected December 15, 2023;11.0;2000 × 1200 px;['IPS'];213.0;8.0;;['Micro SD', 'TF Card'];2000.0;['WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'Barometer', 'G-sensor'];48.0;16.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];18600.0;33.0;8.0;2.2;MediaTek Helio G99;['VoLTE/GSM', 'Quick charge', 'Water-resistant', 'Fingerprint reader'];['Google Android'];Android 13;178.0;277.8;14.0;1.018;['Yellow'];['Charger (adapter with cable)'];;;256.0;1.8;2.2;['IP68', 'IP69K'];ARM Mali G57 MC2;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
278;Acer Iconia Tab M10 Metallic;4589;3793;;;Ordered on request 5 pcsExpected 28/11/2023;10.1;1920 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];512.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Light sensor', 'G-sensor'];8.0;;;;;6.0;45.0;8.0;2.0;MediaTek MT8183;['Quick charging'];['Google Android'];Android 12;8.6;241.2;160.0;0.43;['Grey'];['Charging cable'];Lenovo Tab M;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mediatek;;;;;;;;;;;;
279;Teclast T50 Pro;5999;4958;;;Expected November 30, 2023;10.95;2000 × 1200 px;['IPS'];260.0;8.0;256.0;['Micro SD', 'TF Card'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS', 'GLONASS'];['USB-C'];['Motion sensor'];20.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];8.0;18.0;8.0;2.2;MediaTek Helio G99;['Quick charging'];['Google Android'];Android 13;162.0;257.0;7.7;0.504;['Grey'];['Charger (adapter with cable)'];;;;;;;ARM Mali G57 MC2;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
280;Oukitel RT7 12GB/256GB černý;11999;9917;;;Expected November 30, 2023;10.1;1920 × 1200 px;['IPS'];224.0;12.0;;['Micro SD', 'TF Card'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS', 'A-GPS', 'GLONASS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'Fingerprint reader'];48.0;32.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function', 'Night Vision', 'Face Unlock'];32000.0;33.0;8.0;2.0;;['OTG', 'Quick charge', 'Water-resistant'];['Google Android'];Android 13;167.8;249.1;19.8;1.212;['Black'];['Charger (adapter with cable)'];;;256.0;1.79;2.2;['IP68', 'IP69K'];ARM Mali-G57;['5G', '4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
281;Teclast P26T 4GB/128GB;2399;1983;;;Expected November 30, 2023;10.1;1280 × 800 px;['IPS'];149.45;4.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS', 'GLONASS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'G-sensor'];5.0;2.0;;;['Flash function'];6.0;;8.0;1.8;ARM Cortex A55;;['Google Android'];Android 13;153.4;245.8;10.2;0.511;['Blue'];['Charger (adapter with cable)'];;;;;;;Mali-G57;;;;;;;;;;;;
282;Doogee U9 KID Wi-Fi 3GB/64GB fialový;2190;1810;;;Expected November 30, 2023;10.1;1280 × 800 px;['IPS'];149.0;3.0;64.0;['Micro SDXC'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor'];5.0;2.0;1280 × 720 px;['720p (HD) 30fps'];['Flash function'];5.06;10.0;4.0;2.0;Rockchip RK3562;['OTG', 'Quick charging'];['Google Android'];Android 13;245.3;163.3;9.9;0.728;['Violet'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Arm Cortex A53;;;;;;;;;;;;
